UnitID,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
208646,72,68,68,73,57,58,64,64,72,67
212133,78,75,75,78,74,78,80,80,80,76
231970,,,,,,,,,,
235097,70,74,76,76,78,77,75,76,75,73
446233,54,46,47,56,57,43,47,50,25,62
133492,81,82,82,82,81,81,83,81,81,80
247162,,,,,,,,,,
177278,,,,,,,,,,
238661,79,78,78,78,81,81,82,79,80,78
212160,71,73,66,70,70,70,72,68,73,72
235103,,,,68,62,62,63,59,60,58
243832,50,57,33,89,64,71,53,89,94,92
241836,80,63,50,100,91,100,50,60,65,79
494278,,,,,,,,,,
494287,,,,,,,,,,
492476,,,,,,,,,,
442806,,,,,,,,,,
133526,53,54,60,57,41,50,51,54,53,48
198507,70,73,74,68,74,68,72,79,77,74
212197,87,89,87,87,82,79,82,86,84,88
486080,,,,,,,,,,
144962,82,78,75,84,79,82,78,78,80,77
190983,81,78,65,76,79,82,74,75,71,71
198516,91,90,89,91,90,91,90,90,90,90
133553,78,82,80,80,77,79,78,77,72,72
104586,83,81,87,84,77,82,83,76,78,78
426314,52,48,52,62,63,66,62,57,69,74
165662,89,87,88,87,87,89,88,88,88,87
165671,79,78,78,80,75,79,81,81,82,82
139630,67,58,61,55,63,62,64,67,52,65
153302,77,67,69,70,83,85,50,48,49,61
232025,76,74,76,70,70,73,73,72,73,75
139658,95,95,93,94,94,95,94,95,96,94
155025,77,75,73,71,72,73,73,70,69,73
165699,86,83,84,86,86,83,81,83,88,80
124487,100,0,100,50,50,33,14,43,50,45
224712,,,,,,,,,,
409254,,,,,,,,,,
217998,63,54,49,61,61,60,83,63,78,77
241951,93,86,90,92,86,85,84,83,79,76
144971,59,62,71,70,82,64,64,59,67,69
177339,80,79,79,76,71,75,73,67,79,74
212443,,,,,,,,,,
385619,62,65,64,59,60,75,72,66,70,82
196680,,,,,,,,,,
460376,100,67,11,60,,,,,,
129242,90,90,90,89,89,89,87,87,88,89
184694,80,85,81,78,82,82,73,76,72,71
184603,73,80,74,75,74,67,76,70,69,71
237367,62,66,65,69,65,64,61,64,61,63
153320,83,68,83,77,80,67,70,77,80,79
443049,50,67,63,71,67,70,80,73,100,83
212452,0,0,78,71,89,20,100,,,
494597,,,,,,,,,,
443058,,33,67,100,0,50,,67,100,67
196042,80,84,83,81,79,80,82,80,84,80
191126,89,89,89,89,90,89,88,85,84,
101189,61,54,58,54,57,60,50,57,59,66
198543,74,69,78,67,79,74,71,76,70,69
114433,100,78,88,,64,53,52,58,54,51
184612,78,77,76,84,84,79,76,74,70,63
169910,76,76,79,75,80,72,77,70,71,70
232089,54,49,48,59,55,48,49,53,55,59
114549,,,,,,,,,,
172440,50,68,31,46,55,60,57,49,48,63
165802,62,63,60,62,58,60,56,64,71,51
220181,78,81,81,78,81,82,70,85,79,72
165820,74,73,78,75,75,77,78,75,73,78
133711,74,69,72,71,72,69,67,70,77,74
133650,80,81,83,83,85,81,82,80,79,81
133669,81,82,79,77,78,75,77,78,79,80
